"indicator","geography_code","quintile","period","numerator","indicator_measure","lower_confidence_interval","upper_confidence_interval","definition","relative_inequality_gap","lower_confidence_interval_relative_ineq","upper_confidence_interval_relative_ineq","absolute_inequality_gap","lower_confidence_interval_absolute_ineq","upper_confidence_interval_absolute_ineq","population_attributable_risk"
"Psychiatric patient hospitalisations","S12000048","3","2009/10 to 2011/12 financial years; 3-year aggregates",89.7,312.9,249.1,387.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2009/10 to 2011/12 financial years; 3-year aggregates",72,257.3,199.4,326.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",71.7,249.9,193.1,317.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2009/10 to 2011/12 financial years; 3-year aggregates",505.3,352.3,321.6,385.1,"Age-sex standardised rate per 100,000",53.5,-2.9,110,377.2,-20.3,774.8,28.6
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",166.7,543.5,461.5,635.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2010/11 to 2012/13 financial years; 3-year aggregates",100,335.9,271.6,410.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2010/11 to 2012/13 financial years; 3-year aggregates",78.7,273.5,214.9,342.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2010/11 to 2012/13 financial years; 3-year aggregates",65.7,231.4,177.2,296.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",76,258.5,201.5,326.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2010/11 to 2012/13 financial years; 3-year aggregates",487,334.8,305.2,366.5,"Age-sex standardised rate per 100,000",51.7,-6.2,109.5,346,-41.6,733.5,22.1
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",167.3,537.2,456.5,627.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2011/12 to 2013/14 financial years; 3-year aggregates",98.7,323.2,260.9,395.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2011/12 to 2013/14 financial years; 3-year aggregates",81,281,221.6,351,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2011/12 to 2013/14 financial years; 3-year aggregates",60.7,208.6,157.9,270,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",73.3,240.5,186.6,304.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2011/12 to 2013/14 financial years; 3-year aggregates",481,327.2,298.1,358.4,"Age-sex standardised rate per 100,000",55.4,-2.4,113.2,362.7,-15.4,740.7,25.2
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2012/13 to 2014/15 financial years; 3-year aggregates",173.7,571.1,487.2,665.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2012/13 to 2014/15 financial years; 3-year aggregates",96,316.2,254.4,388.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2012/13 to 2014/15 financial years; 3-year aggregates",80.7,275.8,217.3,344.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2012/13 to 2014/15 financial years; 3-year aggregates",57,196.4,147.6,255.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2012/13 to 2014/15 financial years; 3-year aggregates",74,229.4,177.9,290.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2012/13 to 2014/15 financial years; 3-year aggregates",481.3,325,296.1,355.9,"Age-sex standardised rate per 100,000",62.9,-5.9,131.7,408.7,-38.4,855.9,28.4
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2013/14 to 2015/16 financial years; 3-year aggregates",177,601.1,513.5,699.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2013/14 to 2015/16 financial years; 3-year aggregates",94,312.9,251.1,385,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2013/14 to 2015/16 financial years; 3-year aggregates",85.7,287,227.9,356.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2013/14 to 2015/16 financial years; 3-year aggregates",54.7,186.4,139.4,244,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2013/14 to 2015/16 financial years; 3-year aggregates",68.7,203.9,156.5,260.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2013/14 to 2015/16 financial years; 3-year aggregates",480,323.3,294.5,354.1,"Age-sex standardised rate per 100,000",71.9,-1.3,145,464.7,-8.1,937.5,36.3
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2014/15 to 2016/17 financial years; 3-year aggregates",172.7,596.5,508.6,695,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2014/15 to 2016/17 financial years; 3-year aggregates",99.3,334.5,270.1,409.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2014/15 to 2016/17 financial years; 3-year aggregates",89.3,288.9,230.6,357.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2014/15 to 2016/17 financial years; 3-year aggregates",55,183.9,137.7,240.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2014/15 to 2016/17 financial years; 3-year aggregates",68.7,204.3,156.2,261.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2014/15 to 2016/17 financial years; 3-year aggregates",485,322.9,294.4,353.5,"Age-sex standardised rate per 100,000",72.4,5.4,139.3,467.5,35,900,36.5
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2015/16 to 2017/18 financial years; 3-year aggregates",167.7,571.3,486,667,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2015/16 to 2017/18 financial years; 3-year aggregates",108,361.8,295.2,438.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2015/16 to 2017/18 financial years; 3-year aggregates",83,269.8,213.6,336.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2015/16 to 2017/18 financial years; 3-year aggregates",55.7,184.2,138.3,240.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2015/16 to 2017/18 financial years; 3-year aggregates",61.7,186.9,140.9,242.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2015/16 to 2017/18 financial years; 3-year aggregates",476,317.5,289.2,347.8,"Age-sex standardised rate per 100,000",74.5,20.4,128.5,472.8,129.6,816.1,40.6
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2016/17 to 2018/19 financial years; 3-year aggregates",158.7,527.5,447,617.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2016/17 to 2018/19 financial years; 3-year aggregates",102.7,344.9,280,420,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2016/17 to 2018/19 financial years; 3-year aggregates",79.3,255.6,201,320.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2016/17 to 2018/19 financial years; 3-year aggregates",59,192.9,146,249.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2016/17 to 2018/19 financial years; 3-year aggregates",55.3,168.4,124.7,221.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2016/17 to 2018/19 financial years; 3-year aggregates",455,302.4,274.8,331.9,"Age-sex standardised rate per 100,000",71.8,26.7,117,434.5,161.2,707.7,43.4
"Psychiatric patient hospitalisations","S12000048","1 - most deprived","2017/18 to 2019/20 financial years; 3-year aggregates",152.7,500.4,422.8,587.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","2","2017/18 to 2019/20 financial years; 3-year aggregates",98,329.9,266.4,403.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","3","2017/18 to 2019/20 financial years; 3-year aggregates",72.3,238.9,185.3,302.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","4","2017/18 to 2019/20 financial years; 3-year aggregates",63.3,208,158.9,267.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","5 - least deprived","2017/18 to 2019/20 financial years; 3-year aggregates",47,139.6,100.5,188.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000048","Total","2017/18 to 2019/20 financial years; 3-year aggregates",433.3,289.9,262.8,319,"Age-sex standardised rate per 100,000",72.7,32.3,113,421.3,187.4,655.2,50.7
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2002/03 to 2004/05 financial years; 3-year aggregates",284.3,879.5,774.7,993.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2002/03 to 2004/05 financial years; 3-year aggregates",234.3,697.4,607.9,796,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2002/03 to 2004/05 financial years; 3-year aggregates",154,453.4,381.9,534.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2002/03 to 2004/05 financial years; 3-year aggregates",88.7,295.8,231.5,371.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",62.3,234,174.2,306.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2002/03 to 2004/05 financial years; 3-year aggregates",823.7,508,472.1,545.9,"Age-sex standardised rate per 100,000",83.1,53.7,112.4,843.9,545.5,1142.3,54.2
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",282,868.4,765.2,981.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2003/04 to 2005/06 financial years; 3-year aggregates",213.3,626.3,542.7,718.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2003/04 to 2005/06 financial years; 3-year aggregates",146,429.6,359.9,508.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2003/04 to 2005/06 financial years; 3-year aggregates",85.3,290.4,226.2,365.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",52.7,193.1,139.8,258.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2003/04 to 2005/06 financial years; 3-year aggregates",779.3,477.9,443.2,514.4,"Age-sex standardised rate per 100,000",88,59.7,116.3,841.1,571.1,1111.1,59.9
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",280,845.9,745.9,955.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2004/05 to 2006/07 financial years; 3-year aggregates",184.3,537.3,461.5,621.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2004/05 to 2006/07 financial years; 3-year aggregates",134.3,389.8,324.9,463.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2004/05 to 2006/07 financial years; 3-year aggregates",81.7,278.5,217,350.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",49.7,181.1,130.9,243.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2004/05 to 2006/07 financial years; 3-year aggregates",730,443.5,410.8,478.1,"Age-sex standardised rate per 100,000",89.5,46.7,132.3,794.1,414.6,1173.6,59.6
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",274.7,812,715.6,917.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2005/06 to 2007/08 financial years; 3-year aggregates",174,513.9,438.2,598.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2005/06 to 2007/08 financial years; 3-year aggregates",124.3,360,298.4,430.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2005/06 to 2007/08 financial years; 3-year aggregates",70,236.9,180.5,304.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",49,175.6,124,239.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2005/06 to 2007/08 financial years; 3-year aggregates",692,417.5,385.9,450.9,"Age-sex standardised rate per 100,000",93,45.6,140.5,776.9,380.7,1173.1,58.4
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",275.7,790.5,698.1,891.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2006/07 to 2008/09 financial years; 3-year aggregates",174,513.6,437.6,598.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2006/07 to 2008/09 financial years; 3-year aggregates",122.3,358.7,297.3,429,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2006/07 to 2008/09 financial years; 3-year aggregates",70,232.2,178,297.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",50.7,184.7,131.8,250,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2006/07 to 2008/09 financial years; 3-year aggregates",692.7,415.2,384,448.1,"Age-sex standardised rate per 100,000",90.4,45.2,135.6,750.8,375.4,1126.1,56
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",268,755.4,665.9,853.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2007/08 to 2009/10 financial years; 3-year aggregates",177.7,518.3,442.4,603.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2007/08 to 2009/10 financial years; 3-year aggregates",118,346.2,285.9,415.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2007/08 to 2009/10 financial years; 3-year aggregates",65.7,217.6,162.9,283.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",51.3,183.2,131.5,246.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2007/08 to 2009/10 financial years; 3-year aggregates",680.7,405.8,374.9,438.5,"Age-sex standardised rate per 100,000",89.7,47.8,131.7,728.2,387.9,1068.6,55.1
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",239,669.8,584.3,763.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2008/09 to 2010/11 financial years; 3-year aggregates",164.3,475.1,402.6,556.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2008/09 to 2010/11 financial years; 3-year aggregates",103.3,302.2,245.9,367.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2008/09 to 2010/11 financial years; 3-year aggregates",61.3,199.2,149,260,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2008/09 to 2010/11 financial years; 3-year aggregates",45.7,159.5,114.8,215.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2008/09 to 2010/11 financial years; 3-year aggregates",613.7,366.4,337,397.6,"Age-sex standardised rate per 100,000",89.2,50.2,128.1,653.5,368,939.1,56.4
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2009/10 to 2011/12 financial years; 3-year aggregates",196.7,541.8,466.1,626,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2009/10 to 2011/12 financial years; 3-year aggregates",133.7,382.2,318,455.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2009/10 to 2011/12 financial years; 3-year aggregates",89,257,205.5,317.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2009/10 to 2011/12 financial years; 3-year aggregates",49.7,161,117,215.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",38.7,128.5,89.7,177.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2009/10 to 2011/12 financial years; 3-year aggregates",507.7,301.5,275.1,329.6,"Age-sex standardised rate per 100,000",87.6,52.7,122.5,528.2,317.8,738.7,56.9
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",161,448.6,379.2,526.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2010/11 to 2012/13 financial years; 3-year aggregates",111.3,316.6,258.4,383.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2010/11 to 2012/13 financial years; 3-year aggregates",82.7,238,188.8,296,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2010/11 to 2012/13 financial years; 3-year aggregates",46.3,149.2,108,200.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",35,118.6,80.9,167.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2010/11 to 2012/13 financial years; 3-year aggregates",436.3,261.6,237,287.9,"Age-sex standardised rate per 100,000",79.7,51.7,107.8,417,270.4,563.7,54
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",166,463.7,393.8,542.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2011/12 to 2013/14 financial years; 3-year aggregates",106.7,298.7,243.7,362.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2011/12 to 2013/14 financial years; 3-year aggregates",85.7,243.6,194.2,301.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2011/12 to 2013/14 financial years; 3-year aggregates",41.3,135.3,95.5,185.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",37.7,125.9,87.4,175.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2011/12 to 2013/14 financial years; 3-year aggregates",437.3,259.7,235.5,285.7,"Age-sex standardised rate per 100,000",81.5,39.2,123.8,423.4,203.8,643,51.1
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2012/13 to 2014/15 financial years; 3-year aggregates",177.3,506.8,432.7,589.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2012/13 to 2014/15 financial years; 3-year aggregates",116,329.2,271,396.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2012/13 to 2014/15 financial years; 3-year aggregates",86.3,247.6,197.7,306.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2012/13 to 2014/15 financial years; 3-year aggregates",44,139.1,99.7,188.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2012/13 to 2014/15 financial years; 3-year aggregates",42.3,139.4,99,190.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2012/13 to 2014/15 financial years; 3-year aggregates",466,275.9,251,302.6,"Age-sex standardised rate per 100,000",84.4,36.6,132.1,465.4,202.1,728.8,49.3
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2013/14 to 2015/16 financial years; 3-year aggregates",187.3,539.9,463.5,625.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2013/14 to 2015/16 financial years; 3-year aggregates",120.3,345,285.1,413.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2013/14 to 2015/16 financial years; 3-year aggregates",84.7,244.3,194.5,302.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2013/14 to 2015/16 financial years; 3-year aggregates",48,146.3,107.1,195,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2013/14 to 2015/16 financial years; 3-year aggregates",40,125,88.1,171.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2013/14 to 2015/16 financial years; 3-year aggregates",480.3,282.3,257.2,309.1,"Age-sex standardised rate per 100,000",91.3,42.8,139.8,515.4,241.5,789.2,55.6
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2014/15 to 2016/17 financial years; 3-year aggregates",177.7,515,440.2,598.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2014/15 to 2016/17 financial years; 3-year aggregates",122,347.8,287.7,416.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2014/15 to 2016/17 financial years; 3-year aggregates",83.3,240.1,190.8,298.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","4","2014/15 to 2016/17 financial years; 3-year aggregates",55.7,165.2,124,215.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","5 - least deprived","2014/15 to 2016/17 financial years; 3-year aggregates",38,115.3,80.6,159.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","Total","2014/15 to 2016/17 financial years; 3-year aggregates",476.7,278.3,253.6,304.8,"Age-sex standardised rate per 100,000",88.1,50.4,125.8,490.5,280.7,700.4,58.3
"Psychiatric patient hospitalisations","S12000038","1 - most deprived","2015/16 to 2017/18 financial years; 3-year aggregates",173,492,419.8,572.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","2","2015/16 to 2017/18 financial years; 3-year aggregates",119.3,339.1,280,406.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000038","3","2015/16 to 2017/18 financial years; 3-year aggregates",86.7,249,198.8,307.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
